No    | English            | Vietnamese
1308  | concept            | khai niem
1309  | conception         | quan niem
1310  | concern            | moi quan tam
1311  | concert            | buoi hoa nhac
1312  | conclusion         | ket luan
1313  | concrete           | be tong
1314  | condition          | tinh trang
1315  | conditioner        | dieu
1316  | condominium        | chung cu
1317  | condor             | condor
1318  | conduct            | tien hanh
1319  | conductor          | conductor
1320  | cone               | non
1321  | confectionery      | banh keo
1322  | conference         | hoi nghi
1323  | confidence         | su tu tin
1324  | confidentiality    | bao mat
1325  | configuration      | cau hinh
1326  | confirmation       | xac nhan
1327  | conflict           | xung dot
1328  | conformation       | cau
1329  | confusion          | su nham lan
1330  | conga              | conga
1331  | congo              | congo
1332  | congregation       | thanh
1333  | congress           | dai hoi
1334  | congressman        | nghi si
1335  | congressperson     | congressperson
1336  | conifer            | la kim
1337  | connection         | ket noi
1338  | connotation        | y nghia
1339  | conscience         | luong tam
1340  | consciousness      | y thuc
1341  | consensus          | dong thuan
1342  | consent            | dong y
1343  | consequence        | hau qua
1344  | conservation       | bao ton
1345  | conservative       | bao thu
1346  | consideration      | xem xet
1347  | consignment        | lo hang
1348  | consist            | bao gom
1349  | consistency        | quan
1350  | console            | dieu khien
1351  | consonant          | phu am
1352  | conspiracy         | am muu
1353  | conspirator        | am muu
1354  | constant           | lien tuc
1355  | constellation      | chom sao
1356  | constitution       | hien phap
1357  | constraint         | han che
1358  | construction       | xay dung
1359  | consul             | lanh
1360  | consulate          | lanh su quan
1361  | consulting         | tu van
1362  | consumer           | nguoi tieu dung
1363  | consumption        | tieu thu
1364  | contact            | lien he
1365  | contact lens       | trong
1366  | contagion          | lay lan
1367  | container          | container
1368  | content            | noi dung
1369  | contention         | tranh
1370  | contest            | cuoc thi
1371  | context            | boi canh
1372  | continent          | luc
1373  | contingency        | phong ho
1374  | continuity         | lien tuc
1375  | contour            | duong vien
1376  | contract           | hop dong
1377  | contractor         | thau
1378  | contrail           | contrail
1379  | contrary           | nguoc lai
1380  | contrast           | nguoc lai
1381  | contribution       | dong gop
1382  | contributor        | dong gop
1383  | control            | kiem soat
1384  | controller         | dieu khien
1385  | controversy        | tranh cai
1386  | convection         | doi luu
1387  | convenience        | thuan tien
1388  | convention         | uoc
1389  | conversation       | cuoc tro chuyen
1390  | conversion         | chuyen doi
1391  | convert            | chuyen doi
1392  | convertible        | thue
1393  | conviction         | niem tin
1394  | cook               | nau
1395  | cookbook           | cookbook
1396  | cookie             | cookie
1397  | cooking            | nau an
1398  | coonskin           | coonskin
1399  | cooperation        | hop tac
1400  | coordination       | phoi hop
1401  | coordinator        | dieu phoi vien
1402  | cop                | canh sat
1403  | cop-out            | canh sat ra
1404  | cope               | doi pho
1405  | copper             | dong
1406  | copy               | copy
1407  | copying            | sao chep
1408  | copyright          | ban quyen
1409  | copywriter         | quang cao
1410  | coral              | coral
1411  | cord               | day
1412  | corduroy           | nhung
1413  | core               | loi
1414  | cork               | cork
1415  | cormorant          | chim coc
1416  | corn               | ngo
1417  | corner             | goc
1418  | cornerstone        | nen tang
1419  | cornet             | cornet
1420  | cornflakes         | nai
1421  | cornmeal           | ngo
1422  | corporal           | ha si
1423  | corporation        | cong ty
1424  | corporatism        | nghiep doan
1425  | corps              | quan doan
1426  | corral             | corral
1427  | correspondence     | thu
1428  | correspondent      | phong vien
1429  | corridor           | hanh lang
1430  | corruption         | tham nhung
1431  | corsage            | cai
1432  | cosset             | cosset
1433  | cost               | chi phi
1434  | costume            | trang phuc
1435  | cot                | cui
1436  | cottage            | tieu
1437  | cotton             | cotton
1438  | couch              | ghe
1439  | cougar             | cougar
1440  | cough              | ho
1441  | council            | hoi dong
1442  | councilman         | uy vien hoi dong
1443  | councilor          | uy vien hoi dong
1444  | councilperson      | councilperson
1445  | counsel            | luat su
1446  | counseling         | tu van
1447  | counselling        | tu van
1448  | counsellor         | nhan vien tu van
1449  | counselor          | nhan vien tu van
1450  | count              | dem
1451  | counter            | truy cap
1452  | counter-force      | phan luc
1453  | counterpart        | doi tac
1454  | counterterrorism   | chong khung bo
1455  | countess           | nu ba tuoc
1456  | country            | nuoc
1457  | countryside        | vung nong thon
1458  | county             | county
1459  | couple             | doi tinh nhan
1460  | coupon             | phieu
1461  | courage            | can dam
1462  | course             | tat nhien
1463  | court              | toa an
1464  | courthouse         | toa an
1465  | courtroom          | phong xu an
1466  | cousin             | em ho
1467  | covariate          | covariate
1468  | cover              | bia
1469  | coverage           | bao hiem
1470  | coverall           | ong
1471  | cow                | bo
1472  | cowbell            | stu
1473  | cowboy             | cowboy
1474  | coyote             | coyote
1475  | crab               | cua
1476  | crack              | crack
1477  | cracker            | cracker
1478  | crackers           | banh
1479  | cradle             | cai noi
1480  | craft              | nghe
1481  | craftsman          | tho
1482  | cranberry          | cranberry
1483  | crane              | can cau
1484  | cranky             | cau kinh
1485  | crap               | crap
1486  | crash              | vu tai nan
1487  | crate              | thung
1488  | cravat             | ca vat
1489  | craw               | kho nuot qua
1490  | crawdad            | crawdad
1491  | crayfish           | tom
1492  | crayon             | crayon
1493  | crazy              | dien
1494  | cream              | kem
1495  | creation           | sang tao
1496  | creationism        | sang tao
1497  | creationist        | sang tao
1498  | creative           | sang tao
1499  | creativity         | su sang tao
1500  | creator            | dang tao hoa
1501  | creature           | sinh vat
1502  | creche             | nha tre
1503  | credential         | uy nhiem
1504  | credenza           | credenza
1505  | credibility        | uy tin
1506  | credit             | tin dung
1507  | creditor           | chu no
1508  | creek              | creek
1509  | creme brulee       | creme brulee
1510  | crepe              | banh
1511  | crest              | crest
1512  | crew               | phi hanh doan
1513  | crewman            | thuy thu
1514  | crewmate           | crewmate
1515  | crewmember         | thanh
1516  | crewmen            | thuy thu
1517  | cria               | cria
1518  | crib               | cui
1519  | cribbage           | uno
1520  | cricket            | cricket
1521  | cricketer          | cricket
1522  | crime              | toi pham
1523  | criminal           | toi pham
1524  | crinoline          | khung
1525  | crisis             | khung hoang
1526  | crisp              | net
1527  | criteria           | tieu chi
1528  | criterion          | chi
1529  | critic             | nha phe binh
1530  | criticism          | nhung loi chi trich
1531  | crocodile          | ca sau
1532  | crocus             | cay
1533  | croissant          | croissant
1534  | crook              | crook
1535  | crop               | cat
1536  | cross              | cross
1537  | cross-contamination| qua o nhiem
1538  | cross-stitch       | khau
1539  | crotch             | hang
1540  | croup              | mong
1541  | crow               | con qua
1542  | crowd              | dam dong
1543  | crown              | vuong mien
1544  | crucifixion        | chua bi dong dinh
1545  | crude              | tho
1546  | cruelty            | su tan ac
1547  | cruise             | cruise
1548  | crumb              | manh vun
1549  | crunch             | khung hoang
1550  | crusader           | thap tu chinh
1551  | crush              | crush
1552  | crust              | lop vo
1553  | cry                | khoc
1554  | crystal            | crystal
1555  | crystallography    | bao
1556  | cub                | au
1557  | cube               | khoi lap phuong
1558  | cuckoo             | cuc cu
1559  | cucumber           | dua chuot
1560  | cue                | cai
1561  | cuff-link          | bit-link
1562  | cuisine            | mon
1563  | cultivar           | giong
1564  | cultivator         | may xoi
1565  | culture            | van hoa
1566  | culvert            | cong
1567  | cummerbund         | brand
1568  | cup                | cup
1569  | cupboard           | tu
1570  | cupcake            | cupcake
1571  | cupola             | vom
1572  | curd               | sua
1573  | cure               | chua benh
1574  | curio              | canario
1575  | curiosity          | to mo
1576  | curl               | curl
1577  | curler             | lan
1578  | currant            | nho
1579  | currency           | te
1580  | current            | hien tai
1581  | curriculum         | chuong trinh hoc
1582  | curry              | ca ri
1583  | curse              | loi nguyen
1584  | cursor             | tro
1585  | curtailment        | cat giam
1586  | curtain            | rem
1587  | curve              | duong cong
1588  | cushion            | dem
1589  | custard            | sua trung
1590  | custody            | giam
1591  | custom             | tuy
1592  | customer           | khach hang
1593  | cut                | cat
1594  | cuticle            | bieu bi
1595  | cutlet             | bam
1596  | cutover            | cutover
1597  | cutting            | cat
1598  | cyclamen           | giong anh thao
1599  | cycle              | chu ky
1600  | cyclone            | loc xoay
1601  | cyclooxygenase     | cyclooxygenase
1602  | cygnet             | crescent
1603  | cylinder           | lanh
1604  | cymbal             | hoan hao
1605  | cynic              | ke hoai nghi
1606  | cyst               | u nang
1607  | cytokine           | phan bao
1608  | cytoplasm          | te bao chat
1609  | dad                | cha
1610  | daddy              | bo,
1611  | daffodil           | thuy tien vang
1612  | dagger             | con dao gam
1613  | dahlia             | dahlia
1614  | daikon             | cu cai
1615  | daily              | hang ngay
1616  | dairy              | sua
1617  | daisy              | daisy
1618  | dam                | dap
1619  | damage             | thiet hai
1620  | dame               | dame
1621  | damn               | damn
1622  | dance              | dance
1623  | dancer             | vu cong
1624  | dancing            | nhay
1625  | dandelion          | bo cong anh
1626  | danger             | nguy hiem
1627  | dare               | dam
1628  | dark               | toi
1629  | darkness           | bong toi
1630  | darn               | ti
1631  | dart               | phi tieu
1632  | dash               | dash
1633  | dashboard          | bang dieu khien
1634  | data               | du lieu
1635  | database           | co so du lieu
1636  | date               | ngay
1637  | daughter           | con gai
1638  | dawn               | dawn
1639  | day                | ngay
1640  | daybed             | guc
1641  | daylight           | dieu kien
1642  | dead               | chet
1643  | deadline           | han chot
1644  | deal               | thoa thuan
1645  | dealer             | dealer
1646  | dealing            | doi pho
1647  | dearest            | anh yeu,
1648  | death              | cai chet
1649  | deathwatch         | deathwatch
1650  | debate             | cuoc tranh luan
1651  | debris             | cac manh vun
1652  | debt               | no
1653  | debtor             | con no
1654  | decade             | thap ky
1655  | decadence          | suy doi
1656  | decency            | dung dan
1657  | decimal            | thap phan
1658  | decision           | quyet dinh
1659  | decision-making    | quyet dinh
1660  | deck               | boong
1661  | declaration        | tuyen bo
1662  | declination        | xich
1663  | decline            | tu choi
1664  | decoder            | giai ma
1665  | decongestant       | thong mui
1666  | decoration         | trang tri
1667  | decrease           | giam
1668  | decryption         | giai ma
1669  | dedication         | su cong hien
1670  | deduce             | suy ra
1671  | deduction          | tru
1672  | deed               | hanh dong
1673  | deep               | sau
1674  | deer               | huou
1675  | default            | mac dinh
1676  | defeat             | that bai
1677  | defendant          | bi cao
1678  | defender           | hau ve
1679  | defense            | quoc phong
1680  | deficit            | tham hut
1681  | definition         | dinh nghia
1682  | deformation        | bien dang
1683  | degradation        | suy thoai
1684  | degree             | muc do
1685  | delay              | cham tre
1686  | deliberation       | thao luan
1687  | delight            | thoa thich
1688  | delivery           | giao hang
1689  | demand             | nhu cau
1690  | democracy          | nen dan chu,
1691  | democrat           | dan chu
1692  | demon              | con quy
1693  | demur              | do du,
1694  | den                | den
1695  | denim              | denim
1696  | denominator        | mau
1697  | density            | mat do
1698  | dentist            | nha si
1699  | deodorant          | khu mui
1700  | department         | bo phan
1701  | departure          | khoi hanh
1702  | dependency         | phu thuoc
1703  | dependent          | phu thuoc
1704  | deployment         | trien khai
1705  | deposit            | dat coc
1706  | deposition         | lang dong
1707  | depot              | depot
1708  | depression         | tram cam
1709  | depressive         | tram cam
1710  | depth              | sau
1711  | deputy             | pho
1712  | derby              | derby
1713  | derivation         | nguon goc
1714  | derivative         | ham
1715  | derrick            | derrick
1716  | descendant         | hau due
1717  | descent            | goc
1718  | description        | mo ta
1719  | desert             | sa mac
1720  | design             | thiet ke
1721  | designation        | ten goi
1722  | designer           | thiet ke
1723  | desire             | mong muon
1724  | desk               | ban
1725  | desktop            | may tinh de ban
1726  | dessert            | mon trang mieng
1727  | destination        | diem den
1728  | destiny            | so phan
1729  | destroyer          | tau khu truc
1730  | destruction        | pha huy
1731  | detail             | chi tiet
1732  | detainee           | tu nhan
1733  | detainment         | giam
1734  | detection          | phat hien
1735  | detective          | tham tu
1736  | detector           | may do
1737  | detention          | tam giam
1738  | determination      | quyet tam
1739  | detour             | duong vong
1740  | devastation        | su tan pha
1741  | developer          | phat trien
1742  | developing         | phat trien
1743  | development        | phat trien
1744  | developmental      | phat trien
1745  | deviance           | lech lac
1746  | deviation          | lech
1747  | device             | thiet bi
1748  | devil              | quy
1749  | dew                | suong
1750  | dhow               | thuyen buom
1751  | diabetes           | tieu duong
1752  | diadem             | vuong mien
1753  | diagnosis          | chan doan
1754  | diagram            | so do
1755  | dial               | quay
1756  | dialect            | phuong ngu
1757  | dialogue           | doi thoai
1758  | diam               | ke
1759  | diamond            | kim cuong
1760  | diaper             | ta
1761  | diaphragm          | hoanh
1762  | diarist            | den tham
1763  | diary              | cuon nhat ky
1764  | dibble             | dao lo bang coc
1765  | dick               | dick
1766  | dickey             | dickey
1767  | dictaphone         | may ghi am
1768  | dictator           | nha doc tai
1769  | diction            | ngon tu
1770  | dictionary         | tu dien
1771  | die                | chet
1772  | diesel             | diesel
1773  | diet               | an kieng
1774  | difference         | khac biet
1775  | differential       | khac biet
1776  | difficulty         | kho khan
1777  | diffuse            | khuech tan
1778  | dig                | dig
1779  | digestion          | tieu hoa
1780  | digestive          | tieu hoa
1781  | digger             | digger
1782  | digging            | dao boi
1783  | digit              | chu so
1784  | dignity            | nhan pham
1785  | dilapidation       | pha
1786  | dill               | thi la
1787  | dilution           | pha loang
1788  | dime               | dong xu
1789  | dimension          | kich thuoc
1790  | dimple             | lum dong tien
1791  | diner              | diner
1792  | dinghy             | xuong
1793  | dining             | an
1794  | dinner             | bua toi
1795  | dinosaur           | khung long
1796  | dioxide            | dioxide
1797  | dip                | ngam minh
1798  | diploma            | bang tot nghiep
1799  | diplomacy          | ngoai giao
1800  | dipstick           | que
1801  | direction          | huong
1802  | directive          | chi thi
1803  | director           | giam doc
1804  | directory          | muc
1805  | dirndl             | san,
1806  | dirt               | bui ban
1807  | disability         | khuyet tat
1808  | disadvantage       | bat loi
1809  | disagreement       | bat dong
1810  | disappointment     | that vong
1811  | disarmament        | giai tru quan bi
1812  | disaster           | tham hoa
1813  | discharge          | xa
1814  | discipline         | ky luat
1815  | disclaimer         | tu choi
1816  | disclosure         | tiet lo
1817  | disco              | disco
1818  | disconnection      | ngat ket noi
1819  | discount           | giam gia
1820  | discourse          | ngon
1821  | discovery          | discovery
1822  | discrepancy        | su khac biet
1823  | discretion         | y
1824  | discrimination     | phan biet doi xu
1825  | discussion         | cuoc thao luan
1826  | disdain            | coi thuong
1827  | disease            | benh
1828  | disembodiment      | disembodiment
1829  | disengagement      | buong tha
1830  | disguise           | nguy trang
1831  | disgust            | ghe tom
1832  | dish               | mon
1833  | dishwasher         | rua chen
1834  | disk               | dia
1835  | disparity          | chenh lech
1836  | dispatch           | dispatch
1837  | displacement       | thuyen
1838  | display            | hien
1839  | disposal           | xu ly
1840  | disposer           | tieu huy
1841  | disposition        | bo tri
1842  | dispute            | tranh chap
1843  | disregard          | bo qua
1844  | disruption         | gian doan
1845  | dissemination      | pho bien
1846  | dissonance         | bat hoa
1847  | distance           | khoang cach
1848  | distinction        | khac biet
1849  | distortion         | bien dang
1850  | distribution       | phan phoi
1851  | distributor        | nha phan phoi
1852  | district           | quan
1853  | divalent           | tuong
1854  | divan              | di vang
1855  | diver              | tho lan
1856  | diversity          | da dang
1857  | divide             | phan chia
1858  | dividend           | co tuc
1859  | divider            | chia
1860  | divine             | than thanh
1861  | diving             | lan
1862  | division           | division
1863  | divorce            | ly hon
1864  | doc                | doc
1865  | dock               | dock
1866  | doctor             | bac si
1867  | doctorate          | tien si
1868  | doctrine           | hoc thuyet
1869  | document           | tai lieu
1870  | documentary        | phim tai lieu
1871  | documentation      | tai lieu
1872  | doe                | doe
1873  | dog                | con cho
1874  | doggie             | cho
1875  | dogsled            | dogsled
1876  | dogwood            | dao
1877  | doing              | lam
1878  | doll               | con bup be
1879  | dollar             | dollar
1880  | dollop             | cuc
1881  | dolman             | nep cua quan vo
1882  | dolor              | dolor
1883  | dolphin            | dolphin
1884  | domain             | mien
1885  | dome               | mai vom
1886  | domination         | thong linh
1887  | donation           | quyen gop
1888  | donkey             | donkey
1889  | donor              | nha tai tro
1890  | donut              | donut
1891  | door               | cua
1892  | doorbell           | chuong cua
1893  | doorknob           | pull
1894  | doorpost           | doorpost
1895  | doorway            | cua
1896  | dory               | dory
1897  | dose               | lieu
1898  | dot                | dot
1899  | double             | doi
1900  | doubling           | gap doi
1901  | doubt              | nghi ngo
1902  | doubter            | ke nghi ngo
1903  | dough              | bot
1904  | doughnut           | banh ran
1905  | down               | xuong
1906  | downfall           | su sup do
1907  | downforce          | luc nay
1908  | downgrade          | ha xuong
1909  | download           | tai ve
1910  | downstairs         | o tang duoi
1911  | downtown           | trung tam
1912  | downturn           | suy thoai
1913  | dozen              | chuc
1914  | draft              | thao
1915  | drag               | keo
1916  | dragon             | rong
1917  | dragonfly          | con chuon chuon
1918  | dragonfruit        | dragonfruit
1919  | dragster           | dragster
1920  | drain              | cong
1921  | drainage           | he thong thoat nuoc
1922  | drake              | drake
1923  | drama              | drama
1924  | dramaturge         | dramaturge
1925  | drapes             | man
1926  | draw               | ve
1927  | drawbridge         | cay cau
1928  | drawer             | ngan keo
1929  | drawing            | ve
1930  | dream              | giac mo
1931  | dreamer            | mo mong
1932  | dredger            | dredger
1933  | dress              | an
1934  | dresser            | tu quan ao
1935  | dressing           | mac quan ao
1936  | drill              | khoan
1937  | drink              | uong
1938  | drinking           | uong
1939  | drive              | lai xe
1940  | driver             | driver
1941  | driveway           | lai xe
1942  | driving            | lai xe
1943  | drizzle            | ruoi
1944  | dromedary          | con lac da
1945  | drop               | tha
1946  | drudgery           | cuc nhoc
1947  | drug               | thuoc
1948  | drum               | trong
1949  | drummer            | tay trong
1950  | drunk              | say xin
1951  | dryer              | may say
1952  | duck               | vit
1953  | duckling           | con vit
1954  | dud                | nguoi sieng nang
1955  | dude               | dude
1956  | due                | do
1957  | duel               | dau
1958  | dueling            | dau tay doi
1959  | duffel             | tui du lich
1960  | dugout             | ham tru an
1961  | dulcimer           | thu da cam
1962  | dumbwaiter         | dumbwaiter
1963  | dump               | dump
1964  | dump truck         | xe tai
1965  | dune               | dune
1966  | dune buggy         | dune loi
1967  | dungarees          | quan
1968  | dungeon            | trong nguc toi
1969  | duplexer           | nham
1970  | duration           | thoi gian
1971  | durian             | sau rieng
1972  | dusk               | hoang hon
1973  | dust               | bui
1974  | dust storm         | bao cat
1975  | duster             | co
1976  | duty               | nhiem vu
1977  | dwarf              | lun
1978  | dwell              | ngu
1979  | dwelling           | o
1980  | dynamics           | dong luc
1981  | dynamite           | thuoc no
1982  | dynamo             | dynamo
1983  | dynasty            | trieu dai
1984  | dysfunction        | roi loan chuc nang
1985  | e-book             | e-cuon sach
1986  | e-mail             | e-mail
1987  | e-reader           | e-doc
1988  | eagle              | eagle
1989  | eaglet             | chim ung con
1990  | ear                | tai
1991  | eardrum            | mang nhi
1992  | earmuffs           | bit tai
1993  | earnings           | nhap
1994  | earplug            | earplug
1995  | earring            | bong tai
1996  | earrings           | tai
1997  | earth              | trai dat
1998  | earthquake         | dong dat
1999  | earthworm          | trun
2000  | ease               | mot cach de dang
2001  | easel              | ve
2002  | east               | dong
2003  | eating             | an
2004  | eaves              | mai hien
2005  | eavesdropper       | ke nghe trom
2006  | ecclesia           | giao hoi
2007  | echidna            | thu long nhim
2008  | eclipse            | nhat thuc
2009  | ecliptic           | hoang dao
2010  | ecology            | sinh thai
2011  | economics          | kinh te
2012  | economy            | nen kinh te
2013  | ecosystem          | he sinh thai
2014  | ectoderm           | ngoai bi
2015  | ectodermal         | ectodermal
2016  | ecumenist          | ecumenist
2017  | eddy               | eddy
2018  | edge               | canh
2019  | edger              | luong
2020  | edible             | an duoc
2021  | editing            | chinh sua
2022  | edition            | edition
2023  | editor             | editor
2024  | editorial          | bien tap
2025  | education          | giao duc
2026  | eel                | luon
2027  | effacement         | lu mo
2028  | effect             | hieu ung
2029  | effective          | hieu qua
2030  | effectiveness      | hieu qua
2031  | effector           | phan ung
2032  | efficacy           | hieu qua
2033  | efficiency         | hieu qua
2034  | effort             | no luc
2035  | egg                | trung
2036  | egghead            | mot sach
2037  | eggnog             | trung danh voi ruou nong
2038  | eggplant           | ca tim
2039  | ego                | ego
2040  | eicosanoid         | eicosanoid
2041  | ejector            | phut
2042  | elbow              | khuyu tay
2043  | elderberry         | com chay
2044  | election           | bau cu
2045  | electricity        | dien
2046  | electrocardiogram  | dien
2047  | electronics        | thiet bi dien tu
2048  | element            | to
2049  | elephant           | con voi
2050  | elevation          | do cao
2051  | elevator           | thang may
2052  | eleventh           | muoi mot.
2053  | elf                | elf
2054  | elicit             | goi ra
2055  | eligibility        | du dieu kien
2056  | elimination        | loai bo
2057  | elite              | elite
2058  | elixir             | thuoc
2059  | elk                | elk
2060  | ellipse            | hinh elip
2061  | elm                | elm
2062  | elongation         | keo dai
2063  | elver              | marcello
2064  | email              | email
2065  | emanate            | xong len
2066  | embarrassment      | boi roi
2067  | embassy            | dai su quan
2068  | embellishment      | chinh trang
2069  | embossing          | dap
2070  | embryo             | phoi
2071  | emerald            | emerald
2072  | emergence          | xuat hien
2073  | emergency          | khan cap
2074  | emergent           | cap cuu
2075  | emery              | nham
2076  | emission           | khi thai
2077  | emitter            | phat
2078  | emotion            | cam xuc
2079  | emphasis           | nhan manh
2080  | empire             | de che
2081  | employ             | su dung
2082  | employee           | nhan vien
2083  | employer           | chu nhan
2084  | employment         | viec lam
2085  | empowerment        | trao quyen
2086  | emu                | da dieu
2087  | enactment          | ban hanh
2088  | encirclement       | bao vay
2089  | enclave            | vung dat
2090  | enclosure          | bao vay
2091  | encounter          | cuoc gap go
2092  | encouragement      | khuyen khich
2093  | encyclopedia       | bach khoa toan thu
2094  | end                | ket thuc
2095  | endive             | rau dang
2096  | endoderm           | te bao
2097  | endorsement        | xac nhan
2098  | endothelium        | mac
2099  | endpoint           | cuoi
2100  | enemy              | ke thu
2101  | energy             | nang luong
2102  | enforcement        | thuc thi phap luat
2103  | engagement         | tham gia
2104  | engine             | dong co
2105  | engineer           | ky su
2106  | engineering        | ky thuat
2107  | enigma             | bi an
2108  | enjoyment          | huong thu
2109  | enquiry            | yeu cau
2110  | enrollment         | tuyen
2111  | enterprise         | enterprise
2112  | entertainment      | giai tri
2113  | enthusiasm         | nhiet tinh
2114  | entirety           | toan bo
2115  | entity             | thuc the
2116  | entrance           | loi vao
2117  | entree             | di vao
2118  | entrepreneur       | doanh nhan
2119  | entry              | nhap
2120  | envelope           | phong bi
2121  | environment        | moi truong
2122  | envy               | envy
2123  | enzyme             | enzyme
2124  | epauliere          | epauliere
2125  | epee               | epee
2126  | ephemera           | con thieu than
2127  | ephemeris          | thien van
2128  | ephyra             | ephyra
2129  | epic               | epic
2130  | episode            | tap
2131  | epithelium         | mo
2132  | epoch              | thoi dai
2133  | eponym             | dat ten
2134  | epoxy              | epoxy
2135  | equal              | bang
2136  | equality           | su binh dang
2137  | equation           | phuong trinh
2138  | equinox            | equinox
2139  | equipment          | thiet bi
2140  | equity             | von
2141  | equivalent         | duong
2142  | era                | thoi dai
2143  | eraser             | tay
2144  | erection           | cuong cung
2145  | erosion            | xoi mon
2146  | error              | loi
2147  | escalator          | thang
2148  | escape             | thoat
2149  | escort             | ho tong
2150  | espadrille         | polo
2151  | espalier           | dan go dua vao tuong
2152  | essay              | bai luan
2153  | essence            | ban chat
2154  | essential          | dieu can thiet
2155  | establishment      | lap
2156  | estate             | bat dong san
2157  | estimate           | uoc tinh
2158  | estrogen           | estrogen
2159  | estuary            | cua song
2160  | eternity           | vinh cuu
2161  | ethernet           | ethernet
2162  | ethics             | dao duc
2163  | ethnicity          | dan toc
2164  | ethyl              | phan
2165  | euphonium          | euphonium
2166  | eurocentrism       | eurocentrism
2167  | evaluation         | danh gia
2168  | evaluator          | danh gia
2169  | evaporation        | boc hoi
2170  | eve                | eve
2171  | evening            | buoi toi
2172  | evening-wear       | buoi toi-mac
2173  | event              | su kien
2174  | everybody          | tat ca moi nguoi
2175  | everyone           | tat ca moi nguoi
2176  | everything         | tat ca moi thu
2177  | eviction           | duoi
2178  | evidence           | bang chung
2179  | evil               | ac
2180  | evocation          | goi hon
2181  | evolution          | tien hoa
2182  | ex-husband         | chong cu
2183  | ex-wife            | vo cu
2184  | exaggeration       | cuong dieu
2185  | exam               | thi
2186  | examination        | kiem tra
2187  | examiner           | giam dinh
2188  | example            | vi du
2189  | exasperation       | buc tuc
2190  | excellence         | xuat sac
2191  | exception          | ngoai le
2192  | excerpt            | doan trich
2193  | excess             | du thua
2194  | exchange           | trao doi
2195  | excitement         | su phan khich
2196  | exclamation        | dau cham than
2197  | excursion          | chuyen tham quan
2198  | excuse             | xin loi,
2199  | execution          | thuc hien
2200  | executive          | giam doc dieu hanh
2201  | executor           | chap hanh
2202  | exercise           | tap the duc
2203  | exhaust            | xa
2204  | exhaustion         | vi kiet suc
2205  | exhibit            | trien lam
2206  | exhibition         | trien lam
2207  | exile              | song luu vong
2208  | existence          | su ton tai
2209  | exit               | loi ra
2210  | exocrine           | ngoai tiet
2211  | expansion          | mo rong
2212  | expansionism       | banh truong
2213  | expectancy         | tho
2214  | expectation        | vong
2215  | expedition         | cuoc tham hiem
2216  | expense            | chi phi
2217  | experience         | kinh nghiem
2218  | experiment         | thi nghiem
2219  | experimentation    | thu nghiem
2220  | expert             | chuyen gia
2221  | expertise          | chuyen mon
2222  | explanation        | loi giai thich
2223  | exploration        | tham do
2224  | explorer           | explorer
2225  | explosion          | no
2226  | export             | xuat nhap khau
2227  | expose             | lo
2228  | exposition         | trien lam
2229  | exposure           | tiep xuc
2230  | expression         | bieu hien
2231  | extension          | mo rong
2232  | extent             | muc do
2233  | exterior           | ben ngoai
2234  | external           | ben ngoai
2235  | extinction         | tuyet chung
2236  | extreme            | cuc
2237  | extremist          | cuc doan
2238  | eye                | mat
2239  | eyeball            | eyeball
2240  | eyebrow            | may
2241  | eyebrows           | long may
2242  | eyeglasses         | kinh
2243  | eyelash            | mi
2244  | eyelashes          | mi
2245  | eyelid             | mi
2246  | eyelids            | mi mat
2247  | eyeliner           | ke mat
2248  | eyestrain          | moi mat
2249  | eyrie              | eyrie
2250  | fabric             | vai
2251  | face               | face
2252  | facelift           | su doi moi
2253  | facet              | khia canh
2254  | facility           | co so
2255  | facsimile          | fax
2256  | fact               | thuc te
2257  | factor             | to
2258  | factory            | nha may
2259  | faculty            | khoa
2260  | fahrenheit         | f
2261  | fail               | that bai
2262  | failure            | that bai
2263  | fairness           | su cong bang
2264  | fairy              | co tich
2265  | faith              | niem tin
2266  | faithful           | trung thanh
2267  | fall               | mua thu
2268  | fallacy            | sai lam
2269  | falling-out        | roi ra
2270  | fame               | su noi tieng
2271  | familiar           | quen thuoc
2272  | familiarity        | quen thuoc
2273  | family             | gia dinh
2274  | fan                | fan ham mo
2275  | fang               | fang
2276  | fanlight           | den quat
2277  | fanny              | fanny
2278  | fanny-pack         | fanny-goi
2279  | fantasy            | tuong tuong
2280  | farm               | trang trai
2281  | farmer             | farmer
2282  | farming            | nuoi
2283  | farmland           | nong nghiep
2284  | farrow             | sanh
2285  | fascia             | xe
2286  | fashion            | thoi trang
2287  | fat                | beo
2288  | fate               | so phan
2289  | father             | cha
2290  | father-in-law      | -bo vo
2291  | fatigue            | met moi
2292  | fatigues           | met moi
2293  | faucet             | voi
2294  | fault              | loi
2295  | fav                | yeu thich
2296  | fava               | fava
2297  | favor              | loi
2298  | favorite           | yeu thich
2299  | fawn               | fawn
2300  | fax                | fax
2301  | fear               | so hai
2302  | feast              | bua tiec
2303  | feather            | feather
2304  | feature            | nang
2305  | fedelini           | fedelini
2306  | federation         | lien doan
2307  | fedora             | fedora
2308  | fee                | le phi
2309  | feed               | thuc an
2310  | feedback           | hoi
2311  | feeding            | an
2312  | feel               | cam thay
2313  | feeling            | cam giac
2314  | fellow             | dong bao
2315  | felony             | toi
2316  | female             | nu
2317  | fen                | dam lay
2318  | fence              | hang rao
2319  | fencing            | hang rao
2320  | fender             | fender
2321  | feng               | feng
2322  | fennel             | thi la
